127.0.0.1 - - [25/Nov/2024:08:24:57 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:53 +0700] "GET /MOST_PPSB_Web/rest/v1/combobox/codeMaster?_dc=1732498968887&vslCallId=ASHL&searchType=BLNO&tyCd=GC&page=1&start=0&limit=25 HTTP/1.1" 200 19496
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:53 +0700] "GET /MOST_PPSB_Web/rest/v1/combobox/codeMaster?_dc=1732498968883&vslCallId=ASHL&searchType=SNNO&tyCd=GC&page=1&start=0&limit=25 HTTP/1.1" 200 3538
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:54 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/columnsetting/searchItems?_dc=1732498974333&code=MT&defaultCheck=Y&gridReference=refCargoManualCtlTabImportGrid&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:54 +0700] "GET /MOST_PPSB_Web/rest/v1/combobox/codeMaster?_dc=1732498970519&vslCallId=ASHL&searchType=SNNO&tyCd=GC&page=1&start=0&limit=25 HTTP/1.1" 200 3538
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:55 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/cargomanualctl/cargoManualCtlImportList?_dc=1732498975277&vslCallId=ASHL&shipgNoteNo=&blNo=&masterBL=&cgNo=&isIndicator=false&delvTpCd=&lorryNo=&hatchNo=&listType=BL&pageNo=1&sizePerPage=100&sort=&userRefNo=&pkgNo=&sdoNo=&bargeCheckYn=N&page=1&start=0&limit=100 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:55 +0700] "GET /MOST_PPSB_Web/rest/v1/combobox/codeMaster?_dc=1732498970524&vslCallId=ASHL&searchType=BLNO&tyCd=GC&page=1&start=0&limit=25 HTTP/1.1" 200 19496
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:55 +0700] "GET /MOST_PPSB_Web/rest/v1/combobox/codeMaster?_dc=1732498970529&vslCallId=ASHL&searchType=BOOKINGNO&tyCd=GC&page=1&start=0&limit=25 HTTP/1.1" 200 3508
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:55 +0700] "GET /MOST_PPSB_Web/rest/v1/cargomanualctl/shiftDtList?_dc=1732498970539&vslCallId=ASHL&page=1&start=0&limit=25 HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:56 +0700] "GET /MOST_PPSB_Web/rest/v1/combobox/codeMaster?_dc=1732498970533&vslCallId=ASHL&searchType=MBLNO&tyCd=GC&page=1&start=0&limit=25 HTTP/1.1" 200 19332
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:56 +0700] "GET /MOST_PPSB_Web/rest/v1/columnsetting/searchItems?_dc=1732498974333&code=MT&defaultCheck=Y&gridReference=refCargoManualCtlTabImportGrid&page=1&start=0&limit=25 HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:42:57 +0700] "GET /MOST_PPSB_Web/rest/v1/cargomanualctl/cargoManualCtlImportList?_dc=1732498975277&vslCallId=ASHL&shipgNoteNo=&blNo=&masterBL=&cgNo=&isIndicator=false&delvTpCd=&lorryNo=&hatchNo=&listType=BL&pageNo=1&sizePerPage=100&sort=&userRefNo=&pkgNo=&sdoNo=&bargeCheckYn=N&page=1&start=0&limit=100 HTTP/1.1" 200 15368
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:03 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/cargomanualctl/shiftList?_dc=1732498983966&shftDt=20241024&vslCallId=ASHL&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:04 +0700] "GET /MOST_PPSB_Web/rest/v1/cargomanualctl/shiftList?_dc=1732498983966&shftDt=20241024&vslCallId=ASHL&page=1&start=0&limit=25 HTTP/1.1" 200 1182
