127.0.0.1 - - [10/Dec/2024:08:20:39 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:45:51 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/popup/vesselcalllistpopup?_dc=1733795151539&vslCd=&vslNm=N&scn=&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:45:51 +0700] "GET /MOST_PPSB_Web/rest/v1/popup/vesselcalllistpopup?_dc=1733795151539&vslCd=&vslNm=N&scn=&page=1&start=0&limit=25 HTTP/1.1" 200 2550
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:45:52 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/rehandleGC/snBlComboList?_dc=1733795152855&vslCallId=24VS26-US&searchType=nxSn&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:45:52 +0700] "GET /MOST_PPSB_Web/rest/v1/rehandleGC/snBlComboList?_dc=1733795152855&vslCallId=24VS26-US&searchType=nxSn&page=1&start=0&limit=25 HTTP/1.1" 200 23322
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:45:56 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/warehouse/list?_dc=1733795156796&locDivCd=WHO&areaId=BBT&locUseYn=Y&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:45:57 +0700] "GET /MOST_PPSB_Web/rest/v1/warehouse/list?_dc=1733795156796&locDivCd=WHO&areaId=BBT&locUseYn=Y&page=1&start=0&limit=25 HTTP/1.1" 200 35772
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:45:57 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/warehouse/whViewList?_dc=1733795157321&searchType=viewPlanInfo&whId=&bayQty=0&rowQty=0&vslCallId=ASHL&cgNo=&grNo=&spCaCoCd=&blSn=BLLVTS1&catgCd=&cgTpCd=&rehandleCheck=&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:45:57 +0700] "GET /MOST_PPSB_Web/rest/v1/warehouse/whViewList?_dc=1733795157321&searchType=viewPlanInfo&whId=&bayQty=0&rowQty=0&vslCallId=ASHL&cgNo=&grNo=&spCaCoCd=&blSn=BLLVTS1&catgCd=&cgTpCd=&rehandleCheck=&page=1&start=0&limit=25 HTTP/1.1" 200 6307
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:45:57 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/warehouse/whViewList?_dc=1733795157700&searchType=viewInfo&whId=LOCATION%201&bayQty=2&rowQty=3&vslCallId=ASHL&whTpCd=G&spCaCoCd=&blSn=BLLVTS1&catgCd=&cgTpCd=&rehandleCheck=&cgNo=&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:45:58 +0700] "GET /MOST_PPSB_Web/rest/v1/warehouse/whViewList?_dc=1733795157700&searchType=viewInfo&whId=LOCATION%201&bayQty=2&rowQty=3&vslCallId=ASHL&whTpCd=G&spCaCoCd=&blSn=BLLVTS1&catgCd=&cgTpCd=&rehandleCheck=&cgNo=&page=1&start=0&limit=25 HTTP/1.1" 200 41178
